procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 3  0 2245472 1458112  18276 20428892  180  409 34168   764 5438    1  1  4 95  0  0  0
 2  0 2245452 1477620  18280 20429708    0    0   540     0 26448 4356  7  4 89  0  0  0
 2  0 2245452 1475508  18280 20429708    0    0     0     0 12943 3170  6  4 90  0  0  0
 3  0 2245452 1479940  18280 20429708    0    0     0     0 12430 3128  6  4 90  0  0  0
 3  0 2245452 1472692  18280 20429708    0    0     0    28 13629 3522  7  4 90  0  0  0
 2  0 2245452 1483784  18288 20429700    0    0     0    80 13167 3369  6  4 89  0  0  0
 2  0 2245452 1489252  18288 20429708    0    0     0     0 12664 3087  6  4 90  0  0  0
 2  0 2245452 1488292  18288 20429708    0    0     0     0 13137 3354  7  4 89  0  0  0
 2  0 2245452 1484240  18288 20429708    4    0     4     0 13673 3420  6  4 89  0  0  0
 2  0 2245452 1485344  18288 20429708    0    0     0     0 12987 3393  6  4 90  0  0  0
